Station,River,Location,Latitude_DMS,Longitude_DMS,Elevation_m,Drainage_Area_km2,Published_From,Published_To,Latitude,Longitude
115,Naugragad,Harsingbagar,29 42 07,80 36 26,784,203.0,2000,2019,29.701944444444443,80.60722222222222
120,Chamelia,Nayalbadi,29 40 20,80 33 30,685,1150.0,1965,2019,29.672222222222224,80.55833333333334
125,Jamadigad,Panjkonaya,29 38 18,80 30 50,580,228.0,2001,2019,29.638333333333332,80.51388888888889
170,Surnayagad,Patan,29 27 30,80 33 23,1110,188.0,1966,1987,29.458333333333332,80.55638888888889
215,Karnali,Lalighat,29 09 32,81 35 28,590,15200.0,1977,2018,29.15888888888889,81.5911111111111
220,Tilanadi,Nagma,29 06 26,81 40 49,1935,1870.0,1973,2018,29.107222222222223,81.68027777777779
225,Sinjakhola,Divare,29 12 00,81 55 00,1943,824.0,1967,2015,29.2,81.91666666666667
240,Karnali,Asaraghat,28 57 10,81 26 30,629,19260.0,1962,2019,28.952777777777776,81.44166666666668
250,Karnali,Benighat,28 57 40,81 07 10,320,21240.0,1963,2015,28.961111111111112,81.11944444444444
251.6,Langurkhola,Chhanna,29 29 52,81 07 55,1158,159.0,2001,2019,29.497777777777777,81.13194444444444
253.9,Kailashkhola,Mattada,29 09 49,81 19 08,751,196.0,2001,2006,29.16361111111111,81.31888888888888
256.5,Budhiganga,Chitra,29 09 47,81 12 59,506,1576.0,2000,2019,29.163055555555555,81.21638888888889
258,Dhungad,Bhasme,29 22 16,80 47 06,700,135.0,2000,2006,29.371111111111112,80.785
259.1,Sailigad,Gautada,29 22 00,80 50 00,770,179.0,2000,2006,29.366666666666667,80.83333333333333
259.2,Seti,Gopaghat,29 18 00,80 46 30,750,4420.0,1986,2014,29.3,80.775
260,Seti,Bangga,28 58 40,81 08 40,328,7460.0,1963,2019,28.977777777777778,81.14444444444445
265,Thulo Bheri,Rimna,28 42 47,82 17 00,550,6720.0,1977,2018,28.713055555555556,82.28333333333333
269.5,Bheri,Samaijighat,28 31 02,81 39 25,500,12200.0,1992,2018,28.51722222222222,81.65694444444445
270,Bheri,Jamu,28 45 20,81 21 00,246,12290.0,1963,2010,28.755555555555556,81.35
280,Karnali,Chisapani,28 38 40,81 17 30,191,42890.0,1962,2019,28.644444444444446,81.29166666666667
283.3,Kandra,Pahalmanpur,28 30 41,80 56 24,143,479.0,2001,2006,28.511388888888888,80.94
286,Saradakhola,Daradhunga,28 17 58,82 01 30,579,816.0,1972,2018,28.299444444444447,82.025
289.95,Babai,Chepang,28 21 04,81 43 14,325,2557.0,1990,2018,28.351111111111113,81.72055555555556
290,Babai,Bargadha,28 25 20,81 22 10,192,3000.0,1967,1987,28.422222222222224,81.36944444444444
330,Marikhola,Nayagaon,28 04 20,82 48 00,536,1938.0,1965,2019,28.072222222222223,82.8
339.5,JhimrukkhoIa,Chernata,28 03 00,82 49 40,762,683.0,1971,1995,28.05,82.82777777777777
340,Jhimruk Khola,Kalimatighat,28 02 10,82 53 00,692,696.0,1965,1970,28.03611111111111,82.88333333333334
350,Rapti,Bagostigaon,27 51 12,82 47 34,381,3380.0,1976,2019,27.853333333333335,82.79277777777777
360,Rapti,Jalkundi,27 56 50,82 13 30,218,5150.0,1964,2019,27.947222222222223,82.22500000000001
363,Jhajharikhola,Dhakeri,28 09 22,81 45 13,159,78.0,2000,2011,28.15611111111111,81.75361111111111
364,Duduwakhola,Masurikhet,28 12 15,81 41 44,162,54.0,2000,2006,28.204166666666666,81.69555555555556
375,Rapti,Kusum,28 00 02,82 06 58,235,5200.0,2003,2019,28.000555555555554,82.11611111111111
387.4,Dumrekhola,Kalimati,27 47 40,83 32 03,595,90.0,2000,2019,27.794444444444448,83.53416666666666
390,Tinaukhola,Butwal,27 42 10,83 27 50,184,554.0,1964,2018,27.702777777777776,83.46388888888889
404.7,Mayagdi Khola,Mangalghat,28 21 10,83 31 16,914,1112.0,1976,2019,28.352777777777778,83.52111111111111
406.4,Modikhola,Bagar,28 31 00,83 57 00,3549,158.2,1999,2006,28.516666666666666,83.95
406.5,Modikhola,Nayapul,28 15 15,83 43 27,701,601.0,1976,2015,28.254166666666666,83.72416666666666
410,Kali Gandaki,Setibeni,28 00 14,83 36 31,546,6630.0,1964,1995,28.003888888888888,83.6086111111111
415,Adhikhola,Andhimuhan,27 58 28,83 35 58,543,476.0,1964,1991,27.974444444444444,83.59944444444444
415.1,Adhikhola,Borlangpul,27 58 27,83 34 26,749,195.0,2000,2019,27.974166666666665,83.57388888888889
419.1,Kaligandaki,Ansing,27 53 05,83 47 42,351,10020.0,1996,2019,27.884722222222223,83.795
420,Kali Gandaki,Kotagaun,27 45 00,84 20 50,198,11400.0,1964,2019,27.75,84.34722222222221
428,Mardikhola,Lahachowk,28 18 02,83 55 06,915,160.0,1974,2019,28.300555555555555,83.91833333333334
430,Seti,Phoolbari,28 14 00,84 00 00,830,582.0,1964,1984,28.233333333333334,84.0
430.5,Seti Gandaki,Damauli,27 57 12,84 15 54,290,1350.0,2000,2019,27.953333333333333,84.265
438,Madi,Shisaghat,28 06 00,84 14 00,457,858.0,1975,2019,28.1,84.23333333333333
439.3,Khudikhola,Khudibazar,28 17 12,84 21 27,990,151.0,1983,1995,28.28666666666667,84.35749999999999
439.35,Marsyhandi,Bhakundebesi,28 12 13,84 24 11,610,2950.0,2000,2019,28.203611111111112,84.40305555555557
439.7,Marsyhandi,Bimalnagar,27 57 00,84 25 48,354,3774.0,1987,2019,27.95,84.43
439.8,Marsyhandi,Goplingghat,27 55 35,84 29 42,320,3850.0,1974,1986,27.92638888888889,84.495
440,Chepekhola,Gharmbesi,28 03 41,84 29 23,442,308.0,1964,2019,28.06138888888889,84.48972222222223
445,Burhi Gandaki,Arughat,28 02 37,84 48 59,485,4270.0,1964,2019,28.04361111111111,84.81638888888888
446.1,Langtang Khola,Langtang Village,28 13 00,85 37 00,3640,360.6,1993,2012,28.216666666666665,85.61666666666666
446.8,Phalankhukhola,Brtrawati,27 58 25,85 11 15,630,162.0,1971,1995,27.973611111111108,85.1875
447,Trishuli,Betrawati,27 58 08,85 11 00,600,4110.0,1977,2019,27.968888888888888,85.18333333333334
448,Tadi,Belkot,27 51 35,85 08 18,475,653.0,1969,2019,27.859722222222224,85.13833333333334
449.91,Trishuli,Kalikhola,27 50 08,84 33 12,220,16760.0,1994,2019,27.835555555555555,84.55333333333333
449.95,Trishuli,Bhorle,27 49 00,84 26 45,200,,2016,2019,27.816666666666666,84.44583333333334
450,Narayani,Devghat,27 42 30,84 25 50,180,31100.0,1963,2019,27.708333333333332,84.43055555555556
460,Rapti,Rajaiya,27 26 50,84 58 26,332,579.0,1963,2015,27.447222222222223,84.9738888888889
465,Manaharikhola,Manahari,27 32 37,84 49 03,305,427.0,1964,2010,27.54361111111111,84.8175
470,Lotharkhola,Lothar,27 35 14,84 44 07,336,169.0,1964,2009,27.58722222222222,84.73527777777778
485,Buri Rapti,Chitrasari,27 37 00,84 29 15,189,184.0,1964,1972,27.616666666666667,84.4875
505,Bagmati,Sundarijal,27 46 49,85 25 36,1600,17.0,1963,2017,27.780277777777776,85.42666666666668
507,Nagmati,Sundarijal,27 46 38,85 26 20,1660,13.0,1963,1971,27.77722222222222,85.4388888888889
510,Sialmati,Shyamaddo,27 46 10,85 25 10,1660,3.0,1963,1971,27.769444444444442,85.41944444444445
530,Bagmati,Gaurighat,27 42 35,85 21 10,1300,68.0,1991,2017,27.709722222222222,85.35277777777777
536.2,Bishnumati,Budhanilkantha,27 46 54,85 21 25,1454,4.0,1969,1985,27.781666666666666,85.35694444444444
540,Nakhukhola,Tika Bhairab,27 34 30,85 18 50,1400,43.0,1963,1980,27.575,85.31388888888888
550,Bagmati,Chovar,27 39 40,85 17 50,1280,585.0,1963,1980,27.66111111111111,85.29722222222222
550.05,Bagmati,Khokana,27 37 44,85 17 41,1250,658.0,1992,2019,27.628888888888888,85.29472222222222
560,Thadokhola,Darkot-Markhu,27 36 20,85 09 00,1830,14.0,1964,1976,27.605555555555558,85.15
565,Kulekhani khola,Lamichaur,27 36 13,85 09 39,1515,122.0,1976,1978,27.603611111111114,85.16083333333334
570,Kulekhani khola,Kulekhani,27 35 10,85 09 30,1480,126.0,1963,1977,27.58611111111111,85.15833333333335
581,Bagmati,Bhorleni,27 21 43,85 28 10,250,1540.0,2000,2013,27.361944444444447,85.46944444444445
589,Bagmati,Padharadovan,27 09 06,85 29 30,180,2700.0,1979,2013,27.151666666666664,85.49166666666667
590,Bagmati,Karmaiya,27 08 22,85 29 22,177,2720.0,1965,1979,27.139444444444443,85.48944444444444
600.1,Arun,Uwagaun,27 35 21,87 20 22,1294,26750.0,1985,2010,27.589166666666664,87.33944444444444
602,Sabayakhola,Tumlingtar,27 18 36,87 12 45,305,375.0,1974,2019,27.310000000000002,87.2125
602.5,Hinwakhola,Pipaltar,27 17 45,87 13 30,300,110.0,1974,2019,27.295833333333334,87.22500000000001
604.5,Arun,Turkighat,27 20 00,87 11 30,414,28200.0,1975,2019,27.333333333333332,87.19166666666668
606,Arun,Simle,26 55 42,87 09 16,152,30380.0,1986,2019,26.928333333333335,87.15444444444445
610,Bhotekosi,Barbise,27 47 18,85 53 55,840,2410.0,1965,2012,27.788333333333334,85.89861111111112
620,Balephi,Jalbire,27 48 20,85 46 10,793,629.0,1964,2018,27.805555555555557,85.76944444444445
627.5,Melamchi,Helambhu,28 02 21,85 32 07,2134,84.0,1990,2006,28.039166666666667,85.53527777777778
629.1,Indrawati,Dolalghat,27 38 20,85 42 30,1225,1230.0,2006,2019,27.63888888888889,85.70833333333334
630,Sunkosi,Pachuwarghat,27 33 30,85 45 10,602,4920.0,1964,2019,27.558333333333334,85.75277777777778
640,Rosikhola,Panauti,27 34 50,85 30 50,1480,87.0,1964,1987,27.580555555555556,85.51388888888889
647,Tamakosi,Busti,27 38 05,86 05 12,849,2753.0,1971,2019,27.634722222222223,86.08666666666666
650,Khimtikhola,Rasnalu,27 34 30,86 11 50,1120,313.0,1964,2017,27.575,86.19722222222222
652,Sunkosi,Khurkot,27 20 11,86 00 01,455,10000.0,1968,2019,27.336388888888887,86.00027777777778
660,Likhu,Sangutar,27 20 10,86 13 10,543,823.0,1964,2015,27.33611111111111,86.21944444444445
668.4,Taktorkhola,Beni,27 33 46,86 33 28,2400,73.0,1986,1991,27.56277777777778,86.55777777777777
668.5,Solukhola,Salme,27 30 03,86 34 52,1800,246.0,1987,2006,27.500833333333333,86.58111111111111
670,Dudhakosi,Rabuwabazar,27 16 14,86 40 02,460,4100.0,1964,2019,27.270555555555553,86.66722222222222
680,Sunkosi,Kampughat,26 52 28,86 49 10,200,17600.0,1966,2019,26.874444444444446,86.81944444444444
681,Sunkosi,Hampchuwar,26 55 15,87 08 45,150,18700.0,1991,2019,26.920833333333334,87.14583333333334
684,Tamur,Majhitar,27 09 30,87 42 45,533,4050.0,1996,2019,27.15833333333333,87.7125
690,Tamur,Mulghat,26 55 50,87 19 45,276,5640.0,1965,2019,26.930555555555557,87.32916666666667
695,Saptakosi,Chatara,26 52 00,87 09 30,140,54100.0,1977,2019,26.866666666666667,87.15833333333335
728,Maikhola,Rajduwali,26 52 45,87 55 45,609,377.0,1983,2008,26.879166666666666,87.92916666666667
730,Puwakhola,Sajibote,26 55 00,87 54 40,802,107.0,1966,1968,26.916666666666668,87.91111111111111
795,Kankai,Mainachuli,26 41 12,87 52 44,125,1148.0,1972,2011,26.686666666666667,87.87888888888888
